Product Name,Category,Amazon Link,Local Image File,Catalog Slug
"Arcadia LumenIZE ProT5 Reptile Light Fixture Kit (24"" / 12% UVB)",Heating & Lighting,https://amzn.to/4dOCulX,,arcadia-lumenize-prot5-24in-12pct
"Arcadia LumenIZE ProT5 Reptile Light Fixture Kit (36"" / 12% UVB)",Heating & Lighting,https://amzn.to/4uzKMns,product-79.jpg,arcadia-lumenize-prot5-36in-12pct
"Arcadia T5 UVB Reptile Light Fixture Kit (22.5"" / 12% UVB Desert)",Heating & Lighting,https://amzn.to/4dEH5H9,,arcadia-t5-uvb-22-5in-12pct-desert
"Arcadia T5 UVB Reptile Light Fixture Kit (36"" / 14% UVB Dragon)",Heating & Lighting,https://amzn.to/43AcIvA,product-80.jpg,arcadia-t5-uvb-36in-14pct-dragon
"Basking bulb (standard, 75W)",Heating & Lighting,https://amzn.to/4bqzQAS,product-6.jpg,basking-bulb-75w
Basking dome/fixture,Heating & Lighting,https://amzn.to/44eEEFH,product-7.jpg,basking-dome-fixture
High-wattage basking bulb (250W),Heating & Lighting,https://amzn.to/4vfa5L0,product-8.jpg,high-wattage-basking-bulb-250w
High-wattage basking fixture (up to 150W),Heating & Lighting,https://amzn.to/4ybRSRw,product-9.jpg,high-wattage-basking-fixture
Under-tank heat mat + thermostat kit,Heating & Lighting,https://amzn.to/44hAxJ1,product-10.jpg,under-tank-heat-mat-thermostat-kit
"UVB - Arcadia Desert 12% (ProT5 kit, 22""/24W)",Heating & Lighting,https://amzn.to/3TipZXE,product-3.jpg,uvb-arcadia-desert-12
"UVB - Arcadia Dragon 14% (ProT5 kit, 34""/39W)",Heating & Lighting,https://amzn.to/4gUsut1,product-4.jpg,uvb-arcadia-dragon-14
"UVB - Arcadia Forest 6% (ProT5 kit, 36""/39W)",Heating & Lighting,https://amzn.to/3TiqeC4,product-5.jpg,uvb-arcadia-forest-6
"Zoo Med Basking Spot Lamp (75W, 2 Pack)",Heating & Lighting,https://amzn.to/3RWkQnz,product-81.jpg,zoo-med-basking-spot-lamp-75w-2pack
