Addresses Gap,Product Name,Price,Rating,Num Ratings,Amazon Link,Affiliate Link (beastlyfacts-20),Image URL,ASIN
"Dimming thermostat (Bearded Dragon, Crested Gecko)","2 in 1 Reptile Dimming Thermostat with 2 Socket for Timer & Heating Control, Thermostat for Reptile Heat Lamp Heat Pad, PID Temperature Controller, Memory Function (Model: PT02T)",$29.99,4.5,36,https://www.amazon.com/dp/B0GFD5T3H7,https://www.amazon.com/dp/B0GFD5T3H7?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/61gi07HDEZL._SX522_.jpg,B0GFD5T3H7
"Dimming thermostat (Bearded Dragon, Crested Gecko)",Exo Terra Dimming and Pulse Proportional Thermostat for Reptile Terrariums,$82.99,4.6,125,https://www.amazon.com/dp/B08R29S2WB,https://www.amazon.com/dp/B08R29S2WB?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/41fpi4TOYrL._AC_SX679_.jpg,B08R29S2WB
"Dimming thermostat (Bearded Dragon, Crested Gecko)","REPTIZOO Dimming Thermostat, PID Temperature Controller with Memory Function, Reptile Thermostat for Reptile Heat lamp, Specifically Designed for Light Heat Bulbs & Heaters",$27.99,4.2,759,https://www.amazon.com/dp/B0BGS517FT,https://www.amazon.com/dp/B0BGS517FT?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71hpl7LRGLL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0BGS517FT
"Calcium w/D3 + multivitamin (9 guides incl. Bearded Dragon, Leopard Gecko, Crested Gecko)","Miner-All Reptile Calcium Powder Supplement 6 oz Indoor (2 Pack) | Reptile Calcium with D3 Plus Trace Minerals, Ideal for Majority of Captive Insectivore Reptiles",$23.99,4.8,47,https://www.amazon.com/dp/B01IQMEZP4,https://www.amazon.com/dp/B01IQMEZP4?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/81nfHg38OpL._AC_SY300_SX300_QL70_FMwebp_.jpg,B01IQMEZP4
"Calcium w/D3 + multivitamin (9 guides incl. Bearded Dragon, Leopard Gecko, Crested Gecko)",Repashy Calcium Plus 6 oz JAR,$19.99,4.8,406,https://www.amazon.com/dp/B0D7JWFV5W,https://www.amazon.com/dp/B0D7JWFV5W?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71rVn0a9UuL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0D7JWFV5W
"Calcium w/D3 + multivitamin (9 guides incl. Bearded Dragon, Leopard Gecko, Crested Gecko)",Repashy Calcium Plus LoD 3 Oz JAR,$11.99,4.8,406,https://www.amazon.com/dp/B0D82LT16W,https://www.amazon.com/dp/B0D82LT16W?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/61SMylQTTTL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0D82LT16W
"Calcium w/D3 + multivitamin (9 guides incl. Bearded Dragon, Leopard Gecko, Crested Gecko)",Repashy SuperFoods Calcium Plus 4 oz JAR,$15.99,4.8,406,https://www.amazon.com/dp/B0D6SP118Q,https://www.amazon.com/dp/B0D6SP118Q?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/51rFdTtDgTL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0D6SP118Q
"Calcium w/D3 + multivitamin (9 guides incl. Bearded Dragon, Leopard Gecko, Crested Gecko)","Arcadia EarthPro RevitaliseD3 Calcium Powder for Reptiles 100g – All-Natural Full Spectrum Mineral Supplement with Reptile Calcium Carbonate, Bee Pollen, and Magnesium for Complete Nutrition",$18.13,4.6,126,https://www.amazon.com/dp/B0884CJSPH,https://www.amazon.com/dp/B0884CJSPH?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/51LAc2TPFLL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0884CJSPH
"Low-output UVB (Crested Gecko, Leopard Gecko)","Zoo Med 5.0 T5-HO 14"" Terrarium Hood with ReptiSun T5 HO 5.0 UVB Lamp",$59.98,4.5,1195,https://www.amazon.com/dp/B00M9ONY1W,https://www.amazon.com/dp/B00M9ONY1W?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/81RVPXFgTdL._AC_SY300_SX300_QL70_FMwebp_.jpg,B00M9ONY1W
Commercial crested gecko diet (Crested Gecko + shareable gap),"Pangea Fruit Mix Gecko Treat, 16 oz",$34.99,4.8,425,https://www.amazon.com/dp/B01NCJP6CR,https://www.amazon.com/dp/B01NCJP6CR?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/81PfamtNvBL._AC_SY300_SX300_QL70_FMwebp_.jpg,B01NCJP6CR
